"","v5","v7"
"1623",98.7495203979308,97.339996
"1624",98.818250242169,97.339996
"1625",98.8869800864072,97.339996
"1626",98.9557099306454,97.339996
"1627",99.0244397748836,97.339996
"1628",99.0931696191218,97.339996
"1629",99.16189946336,97.339996
"1630",99.2306293075982,97.339996
"1631",99.2993591518365,97.339996
"1632",99.3680889960746,97.339996
"1633",99.4368188403129,97.339996
"1634",99.5055486845511,97.339996
"1635",99.5742785287893,97.339996
"1636",99.6430083730275,97.339996
"1637",99.7117382172657,97.339996
"1638",99.7804680615039,97.339996
"1639",99.8491979057421,97.339996
"1640",99.9179277499803,97.339996
"1641",99.9866575942185,97.339996
"1642",100.055387438457,97.339996
"1643",100.124117282695,97.339996
"1644",100.192847126933,97.339996
"1645",100.261576971171,97.339996
"1646",100.330306815409,97.339996
"1647",100.399036659648,97.339996
"1648",100.467766503886,97.339996
"1649",100.536496348124,97.339996
"1650",100.605226192362,97.339996
"1651",100.6739560366,97.339996
"1652",100.742685880839,97.339996
"1653",100.811415725077,97.339996
"1654",100.880145569315,97.339996
"1655",100.948875413553,97.339996
"1656",101.017605257792,97.339996
"1657",101.08633510203,97.339996
"1658",101.155064946268,97.339996
"1659",101.223794790506,97.339996
"1660",101.292524634744,97.339996
"1661",101.361254478983,97.339996
"1662",101.429984323221,97.339996
"1663",101.498714167459,97.339996
"1664",101.567444011697,97.339996
"1665",101.636173855935,97.339996
"1666",101.704903700174,97.339996
"1667",101.773633544412,97.339996
"1668",101.84236338865,97.339996
"1669",101.911093232888,97.339996
"1670",101.979823077126,97.339996
"1671",102.048552921365,97.339996
"1672",102.117282765603,97.339996
"1673",102.186012609841,97.339996
"1674",102.254742454079,97.339996
"1675",102.323472298317,97.339996
"1676",102.392202142556,97.339996
"1677",102.460931986794,97.339996
"1678",102.529661831032,97.339996
"1679",102.59839167527,97.339996
"1680",102.667121519508,97.339996
"1681",102.735851363747,97.339996
"1682",102.804581207985,97.339996
"1683",102.873311052223,97.339996
"1684",102.942040896461,97.339996
"1685",103.010770740699,97.339996
"1686",103.079500584938,97.339996
"1687",103.148230429176,97.339996
"1688",103.216960273414,97.339996
"1689",103.285690117652,97.339996
"1690",103.35441996189,97.339996
"1691",103.423149806129,97.339996
"1692",103.491879650367,97.339996
"1693",103.560609494605,97.339996
"1694",103.629339338843,97.339996
"1695",103.698069183081,97.339996
"1696",103.76679902732,97.339996
"1697",103.835528871558,97.339996
"1698",103.904258715796,97.339996
"1699",103.972988560034,97.339996
"1700",104.041718404272,97.339996
"1701",104.110448248511,97.339996
"1702",104.179178092749,97.339996
"1703",104.247907936987,97.339996
"1704",104.316637781225,97.339996
"1705",104.385367625463,97.339996
"1706",104.454097469702,97.339996
"1707",104.52282731394,97.339996
"1708",104.591557158178,97.339996
"1709",104.660287002416,97.339996
"1710",104.729016846654,97.339996
"1711",104.797746690893,97.339996
"1712",104.866476535131,97.339996
"1713",104.935206379369,97.339996
"1714",105.003936223607,97.339996
"1715",105.072666067845,97.339996
"1716",105.141395912084,97.339996
"1717",105.210125756322,97.339996
"1718",105.27885560056,97.339996
"1719",105.347585444798,97.339996
"1720",105.416315289036,97.339996
"1721",105.485045133275,97.339996
"1722",105.553774977513,97.339996
"1723",105.622504821751,97.339996
"1724",105.691234665989,97.339996
"1725",105.759964510227,97.339996
"1726",105.828694354466,97.339996
"1727",105.897424198704,97.339996
"1728",105.966154042942,97.339996
"1729",106.03488388718,97.339996
"1730",106.103613731418,97.339996
"1731",106.172343575657,97.339996
"1732",106.241073419895,97.339996
"1733",106.309803264133,97.339996
"1734",106.378533108371,97.339996
"1735",106.447262952609,97.339996
"1736",106.515992796848,97.339996
"1737",106.584722641086,97.339996
"1738",106.653452485324,97.339996
"1739",106.722182329562,97.339996
"1740",106.7909121738,97.339996
"1741",106.859642018039,97.339996
"1742",106.928371862277,97.339996
"1743",106.997101706515,97.339996
"1744",107.065831550753,97.339996
"1745",107.134561394991,97.339996
"1746",107.20329123923,97.339996
"1747",107.272021083468,97.339996
"1748",107.340750927706,97.339996
"1749",107.409480771944,97.339996
"1750",107.478210616182,97.339996
"1751",107.546940460421,97.339996
"1752",107.615670304659,97.339996
"1753",107.684400148897,97.339996
"1754",107.753129993135,97.339996
"1755",107.821859837373,97.339996
"1756",107.890589681612,97.339996
"1757",107.95931952585,97.339996
"1758",108.028049370088,97.339996
"1759",108.096779214326,97.339996
"1760",108.165509058564,97.339996
"1761",108.234238902803,97.339996
"1762",108.302968747041,97.339996
